objective,explanation,lecture_id,include,category
"Explain the terms pharmacokinetics, therapeutic index, bioavailability, half life, clearance, plasma protein binding, biotransformation, first order kinetics, zero order kinetics, induction of liver enzymes 43 Lectures 7 and 8",,Introduction to pharmacokinetics,y,Pharmacology
Describe why selective toxicity is important in anti-infective chemotherapy,,Antibiotics,y,Pharmacology
Discuss the main principles of selective toxicity and problems associated with the use of antibacterial agents,,Antibiotics,y,Pharmacology
"Discuss the use, mechanisms of action, clinical uses and common adverse effects of examples from each of the major classes of antibacterial drugs Antivirals:",,Antibiotics,y,Pharmacology
Discuss the general principles of the treatment of viral infections (including HIV),,Antivirals,y,Pharmacology
"Discuss the mechanisms of action, clinical uses and problems associated with the use of specific antiviral drugs 44",,Antivirals,y,Pharmacology
Discuss the access to essential medicines,,Session Outline: HKS - The pharmaceutical industry,n,
Demonstrate an understanding of the effects of global pharmaceutical practices on the availability of antiretroviral medications in sub-Saharan African countries,,Session Outline: HKS - The pharmaceutical industry,n,
Recognize the marketing practices employed by pharmaceutical companies when dealing with medical graduates and students,,Session Outline: HKS - The pharmaceutical industry,n,
"Describe, discuss, and criticize the process of cognitive developmental change in Piaget’s theory",,Session Outline: HD - Cognitive development,n,
"Explain how culture, social interaction, and language influence thought based on Vygotsky’s theory",,Session Outline: HD - Cognitive development,n,
Summarise Fischer’s dynamic skill framework and compare it to Piaget and Vygotsky models of cognitive development,,Session Outline: HD - Cognitive development,n,
"Compare the thinking pattern of neuro-typical preschool-age children, elementary school children, adolescents and adults 45",,Session Outline: HD - Cognitive development,n,
Appraise definitions of health and illness,,Session Outline: HD - Introduction to health and human behaviour,n,
Identify current and relevant historical concepts of health and illness,,Session Outline: HD - Introduction to health and human behaviour,n,
Apply the biopsychosocial model of illness,,Session Outline: HD - Introduction to health and human behaviour,n,
Explain the impact of culture on health and illness,,Session Outline: HD - Introduction to health and human behaviour,n,
